,title,name,stars,text,label_sentimen,text_clean,text_casefoldingText,text_slangwords,text_stemming,text_tokenizingText,text_stopword,text_final
0,Terminal Bulupitu Purwokerto,Muhammad Bakarudin,5,Joss terminalnya makasih,Positif,Joss terminalnya makasih,joss terminalnya makasih,bagus terminalnya terima kasih,bagus terminal terima kasih,"['bagus', 'terminal', 'terima', 'kasih']","['bagus', 'terminal', 'terima', 'kasih']",bagus terminal terima kasih
1,Terminal Bulupitu Purwokerto,Teguh Ku,1,Sangat mengecewakan banyak oknum pungli .. memaksaan kehendak terhadap penumpang,Negatif,Sangat mengecewakan banyak oknum pungli  memaksaan kehendak terhadap penumpang,sangat mengecewakan banyak oknum pungli  memaksaan kehendak terhadap penumpang,sangat mengecewakan banyak oknum pungli memaksaan kehendak terhadap penumpang,sangat kecewa banyak oknum pungli paksa hendak hadap tumpang,"['sangat', 'kecewa', 'banyak', 'oknum', 'pungli', 'paksa', 'hendak', 'hadap', 'tumpang']","['kecewa', 'oknum', 'pungli', 'paksa', 'hadap', 'tumpang']",kecewa oknum pungli paksa hadap tumpang
2,Terminal Bulupitu Purwokerto,KARTASOEWARTO UNIVERSAL,5,"Lumayan bagus dan cukup tertata
Loket telah disediakan bagus berderetan
Namun masih saja banyak calonya
Harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman
Cukup sepi karena bis bagus jarang masuk terminal ini
Konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan
Kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal
TOILET GRATIS
Dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut, bikin gak enak hati akhirnya bayar juga
Sekarang sudah ditertibkan
TERMINAL INI MEMILIKI TAMAN YANG LUAS TERMASUK AREA BERMAIN ANAK
LAHAN PARKIR KENDARAAN UNTUK PENGUNJUNG SANGAT LUAS
KULINER JUGA MEMADAI DENGAN HARGA TETAP TERKENDALI
BAGUS DAN LAYAK UNTUK DISINGGAHI",Positif,Lumayan bagus dan cukup tertata Loket telah disediakan bagus berderetan Namun masih saja banyak calonya Harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman Cukup sepi karena bis bagus jarang masuk terminal ini Konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan Kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal TOILET GRATIS Dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut bikin gak enak hati akhirnya bayar juga Sekarang sudah ditertibkan TERMINAL INI MEMILIKI TAMAN YANG LUAS TERMASUK AREA BERMAIN ANAK LAHAN PARKIR KENDARAAN UNTUK PENGUNJUNG SANGAT LUAS KULINER JUGA MEMADAI DENGAN HARGA TETAP TERKENDALI BAGUS DAN LAYAK UNTUK DISINGGAHI,lumayan bagus dan cukup tertata loket telah disediakan bagus berderetan namun masih saja banyak calonya harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman cukup sepi karena bis bagus jarang masuk terminal ini konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal toilet gratis dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut bikin gak enak hati akhirnya bayar juga sekarang sudah ditertibkan terminal ini memiliki taman yang luas termasuk area bermain anak lahan parkir kendaraan untuk pengunjung sangat luas kuliner juga memadai dengan harga tetap terkendali bagus dan layak untuk disinggahi,lumayan bagus dan cukup tertata loket telah disediakan bagus berderetan namun masih saja banyak calonya harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman cukup sepi karena bis bagus jarang masuk terminal ini konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal toilet gratis dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut bikin enggak enak hati akhirnya bayar juga sekarang sudah ditertibkan terminal ini memiliki taman yang luas termasuk area bermain anak lahan parkir kendaraan untuk pengunjung sangat luas kuliner juga memadai dengan harga tetap terkendali bagus dan layak untuk disinggahi,lumayan bagus dan cukup tata loket telah sedia bagus deret namun masih saja banyak calo harus yang lalulalang itu hanya tugas yang fungsi bagai informan dan kam cukup sepi karena bis bagus jarang masuk terminal ini konsumen lebih pilih agen di luar terminal karena faktor harga tiket dan nyaman kalau aman sudah standar tinggal nyaman tumpang belum maksimal toilet gratis dulu walau sudah ada tulis gratis tapi ada saja orang yang nongkrong di depan toilet beri kesan olah bayar ke oknum sebut bikin enggak enak hati akhir bayar juga sekarang sudah tertib terminal ini milik taman yang luas masuk area main anak lahan parkir kendara untuk unjung sangat luas kuliner juga pada dengan harga tetap kendali bagus dan layak untuk singgah,"['lumayan', 'bagus', 'dan', 'cukup', 'tata', 'loket', 'telah', 'sedia', 'bagus', 'deret', 'namun', 'masih', 'saja', 'banyak', 'calo', 'harus', 'yang', 'lalulalang', 'itu', 'hanya', 'tugas', 'yang', 'fungsi', 'bagai', 'informan', 'dan', 'kam', 'cukup', 'sepi', 'karena', 'bis', 'bagus', 'jarang', 'masuk', 'terminal', 'ini', 'konsumen', 'lebih', 'pilih', 'agen', 'di', 'luar', 'terminal', 'karena', 'faktor', 'harga', 'tiket', 'dan', 'nyaman', 'kalau', 'aman', 'sudah', 'standar', 'tinggal', 'nyaman', 'tumpang', 'belum', 'maksimal', 'toilet', 'gratis', 'dulu', 'walau', 'sudah', 'ada', 'tulis', 'gratis', 'tapi', 'ada', 'saja', 'orang', 'yang', 'nongkrong', 'di', 'depan', 'toilet', 'beri', 'kesan', 'olah', 'bayar', 'ke', 'oknum', 'sebut', 'bikin', 'enggak', 'enak', 'hati', 'akhir', 'bayar', 'juga', 'sekarang', 'sudah', 'tertib', 'terminal', 'ini', 'milik', 'taman', 'yang', 'luas', 'masuk', 'area', 'main', 'anak', 'lahan', 'parkir', 'kendara', 'untuk', 'unjung', 'sangat', 'luas', 'kuliner', 'juga', 'pada', 'dengan', 'harga', 'tetap', 'kendali', 'bagus', 'dan', 'layak', 'untuk', 'singgah']","['lumayan', 'bagus', 'tata', 'loket', 'sedia', 'bagus', 'deret', 'calo', 'lalulalang', 'tugas', 'fungsi', 'informan', 'kam', 'sepi', 'bis', 'bagus', 'jarang', 'masuk', 'terminal', 'konsumen', 'pilih', 'agen', 'terminal', 'faktor', 'harga', 'tiket', 'nyaman', 'aman', 'standar', 'tinggal', 'nyaman', 'tumpang', 'maksimal', 'toilet', 'gratis', 'tulis', 'gratis', 'orang', 'nongkrong', 'toilet', 'kesan', 'olah', 'bayar', 'oknum', 'bikin', 'enak', 'hati', 'bayar', 'tertib', 'terminal', 'milik', 'taman', 'luas', 'masuk', 'area', 'main', 'anak', 'lahan', 'parkir', 'kendara', 'unjung', 'luas', 'kuliner', 'harga', 'kendali', 'bagus', 'layak', 'singgah']",lumayan bagus tata loket sedia bagus deret calo lalulalang tugas fungsi informan kam sepi bis bagus jarang masuk terminal konsumen pilih agen terminal faktor harga tiket nyaman aman standar tinggal nyaman tumpang maksimal toilet gratis tulis gratis orang nongkrong toilet kesan olah bayar oknum bikin enak hati bayar tertib terminal milik taman luas masuk area main anak lahan parkir kendara unjung luas kuliner harga kendali bagus layak singgah
3,Terminal Bulupitu Purwokerto,Mohamad Riqob,5,"Terminal Purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun, depan lobby sudah ada grab pickup seperti di bandara. Ruang tunggu berAC cukup nyaman dan ada playground untuk bermain anak. Start terminal bus trans jateng dan trans banyumas",Positif,Terminal Purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun depan lobby sudah ada grab pickup seperti di bandara Ruang tunggu berAC cukup nyaman dan ada playground untuk bermain anak Start terminal bus trans jateng dan trans banyumas,terminal purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun depan lobby sudah ada grab pickup seperti di bandara ruang tunggu berac cukup nyaman dan ada playground untuk bermain anak start terminal bus trans jateng dan trans banyumas,terminal purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun depan lobby sudah ada grab ambil di toko seperti di bandara ruang tunggu berac cukup nyaman dan ada playground untuk bermain anak start terminal bus trans jateng dan trans banyumas,terminal purwokerto ini cukup luas sudah banyak bangun dan maju tiap tahun depan lobby sudah ada grab ambil di toko seperti di bandara ruang tunggu berac cukup nyaman dan ada playground untuk main anak start terminal bus trans jateng dan trans banyumas,"['terminal', 'purwokerto', 'ini', 'cukup', 'luas', 'sudah', 'banyak', 'bangun', 'dan', 'maju', 'tiap', 'tahun', 'depan', 'lobby', 'sudah', 'ada', 'grab', 'ambil', 'di', 'toko', 'seperti', 'di', 'bandara', 'ruang', 'tunggu', 'berac', 'cukup', 'nyaman', 'dan', 'ada', 'playground', 'untuk', 'main', 'anak', 'start', 'terminal', 'bus', 'trans', 'jateng', 'dan', 'trans', 'banyumas']","['terminal', 'purwokerto', 'luas', 'bangun', 'maju', 'lobby', 'grab', 'ambil', 'toko', 'bandara', 'ruang', 'tunggu', 'berac', 'nyaman', 'playground', 'main', 'anak', 'start', 'terminal', 'bus', 'trans', 'jateng', 'trans', 'banyumas']",terminal purwokerto luas bangun maju lobby grab ambil toko bandara ruang tunggu berac nyaman playground main anak start terminal bus trans jateng trans banyumas
4,Terminal Bulupitu Purwokerto,molly _,5,terminal penuh kenangan dengan almarhum mbah kakung saat anter pak lik sekeluarga pulang ke depok,Positif,terminal penuh kenangan dengan almarhum mbah kakung saat anter pak lik sekeluarga pulang ke depok,terminal penuh kenangan dengan almarhum mbah kakung saat anter pak lik sekeluarga pulang ke depok,terminal penuh kenangan dengan almarhum mbah kakung saat antar pak lik sekeluarga pulang ke depok,terminal penuh kenang dengan almarhum mbah kakung saat antar pak lik keluarga pulang ke depok,"['terminal', 'penuh', 'kenang', 'dengan', 'almarhum', 'mbah', 'kakung', 'saat', 'antar', 'pak', 'lik', 'keluarga', 'pulang', 'ke', 'depok']","['terminal', 'penuh', 'kenang', 'almarhum', 'mbah', 'kakung', 'lik', 'keluarga', 'pulang', 'depok']",terminal penuh kenang almarhum mbah kakung lik keluarga pulang depok
5,Terminal Bulupitu Purwokerto,Ragel26,5,Bersih dan nyaman,Positif,Bersih dan nyaman,bersih dan nyaman,bersih dan nyaman,bersih dan nyaman,"['bersih', 'dan', 'nyaman']","['bersih', 'nyaman']",bersih nyaman
6,Terminal Bulupitu Purwokerto,Achmad Fauzi,1,"Menurut saya sangat buruk perhatian terhadap sarana dan prasarana yg ada, ini awal april loh.. Kamarin maret momen lebaran ngga ada pembenahan ya? Khususnya fasilitas toilet.., minim penerangan, air keruh, keran rusak, kotor, aroma gak sedap,",Negatif,Menurut saya sangat buruk perhatian terhadap sarana dan prasarana yg ada ini awal april loh Kamarin maret momen lebaran ngga ada pembenahan ya Khususnya fasilitas toilet minim penerangan air keruh keran rusak kotor aroma gak sedap,menurut saya sangat buruk perhatian terhadap sarana dan prasarana yg ada ini awal april loh kamarin maret momen lebaran ngga ada pembenahan ya khususnya fasilitas toilet minim penerangan air keruh keran rusak kotor aroma gak sedap,menurut saya sangat buruk perhatian terhadap sarana dan prasarana yang ada ini awal april loh kamarin maret momen lebaran enggak ada pembenahan ya khususnya fasilitas toilet minim penerangan air keruh keran rusak kotor aroma enggak sedap,turut saya sangat buruk perhati hadap sarana dan prasarana yang ada ini awal april loh kamarin maret momen lebaran enggak ada benah ya khusus fasilitas toilet minim terang air keruh keran rusak kotor aroma enggak sedap,"['turut', 'saya', 'sangat', 'buruk', 'perhati', 'hadap', 'sarana', 'dan', 'prasarana', 'yang', 'ada', 'ini', 'awal', 'april', 'loh', 'kamarin', 'maret', 'momen', 'lebaran', 'enggak', 'ada', 'benah', 'ya', 'khusus', 'fasilitas', 'toilet', 'minim', 'terang', 'air', 'keruh', 'keran', 'rusak', 'kotor', 'aroma', 'enggak', 'sedap']","['buruk', 'perhati', 'hadap', 'sarana', 'prasarana', 'april', 'kamarin', 'maret', 'momen', 'lebaran', 'benah', 'khusus', 'fasilitas', 'toilet', 'minim', 'terang', 'air', 'keruh', 'keran', 'rusak', 'kotor', 'aroma', 'sedap']",buruk perhati hadap sarana prasarana april kamarin maret momen lebaran benah khusus fasilitas toilet minim terang air keruh keran rusak kotor aroma sedap
7,Terminal Bulupitu Purwokerto,Arrr Ifff,1,Nunggu nya lama banget dari jam 7 sampe jam 12,Negatif,Nunggu nya lama banget dari jam  sampe jam,nunggu nya lama banget dari jam  sampe jam,menunggu nya lama  sekali dari jam sampai jam,tunggu nya lama sekali dari jam sampai jam,"['tunggu', 'nya', 'lama', 'sekali', 'dari', 'jam', 'sampai', 'jam']","['tunggu', 'jam', 'jam']",tunggu jam jam
8,Terminal Bulupitu Purwokerto,Vino Ade Santeria,1,"tempatnya panas gk ada AC gk ada kipas, kotor juga banyak plafonnya yang udah pada jebol.",Negatif,tempatnya panas gk ada AC gk ada kipas kotor juga banyak plafonnya yang udah pada jebol,tempatnya panas gk ada ac gk ada kipas kotor juga banyak plafonnya yang udah pada jebol,tempatnya panas enggak ada ac enggak ada kipas kotor juga banyak plafonnya yang sudah pada jebol,tempat panas enggak ada ac enggak ada kipas kotor juga banyak plafon yang sudah pada jebol,"['tempat', 'panas', 'enggak', 'ada', 'ac', 'enggak', 'ada', 'kipas', 'kotor', 'juga', 'banyak', 'plafon', 'yang', 'sudah', 'pada', 'jebol']","['panas', 'ac', 'kipas', 'kotor', 'plafon', 'jebol']",panas ac kipas kotor plafon jebol
9,Terminal Bulupitu Purwokerto,Fathur Rahman,5,Bagus banget...bersih rapi aman terkendali,Positif,Bagus bangetbersih rapi aman terkendali,bagus bangetbersih rapi aman terkendali,bagus bangetbersih rapi aman terkendali,bagus bangetbersih rapi aman kendali,"['bagus', 'bangetbersih', 'rapi', 'aman', 'kendali']","['bagus', 'bangetbersih', 'rapi', 'aman', 'kendali']",bagus bangetbersih rapi aman kendali
