stars,text,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_final,polarity_score,polarity
5,Joss terminalnya makasih,Joss terminalnya makasih,joss terminalnya makasih,joss terminalnya terima kasih,"['joss', 'terminalnya', 'terima', 'kasih']","['joss', 'terminalnya', 'terima', 'kasih']",joss terminalnya terima kasih,3,positive
1,Sangat mengecewakan banyak oknum pungli .. memaksaan kehendak terhadap penumpang,Sangat mengecewakan banyak oknum pungli  memaksaan kehendak terhadap penumpang,sangat mengecewakan banyak oknum pungli  memaksaan kehendak terhadap penumpang,sangat mengecewakan banyak oknum pungli memaksaan kehendak terhadap penumpang,"['sangat', 'mengecewakan', 'banyak', 'oknum', 'pungli', 'memaksaan', 'kehendak', 'terhadap', 'penumpang']","['mengecewakan', 'oknum', 'pungli', 'memaksaan', 'kehendak', 'penumpang']",mengecewakan oknum pungli memaksaan kehendak penumpang,-6,negative
5,"Lumayan bagus dan cukup tertata
Loket telah disediakan bagus berderetan
Namun masih saja banyak calonya
Harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman
Cukup sepi karena bis bagus jarang masuk terminal ini
Konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan
Kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal
TOILET GRATIS
Dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut, bikin gak enak hati akhirnya bayar juga
Sekarang sudah ditertibkan
TERMINAL INI MEMILIKI TAMAN YANG LUAS TERMASUK AREA BERMAIN ANAK
LAHAN PARKIR KENDARAAN UNTUK PENGUNJUNG SANGAT LUAS
KULINER JUGA MEMADAI DENGAN HARGA TETAP TERKENDALI
BAGUS DAN LAYAK UNTUK DISINGGAHI",Lumayan bagus dan cukup tertata Loket telah disediakan bagus berderetan Namun masih saja banyak calonya Harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman Cukup sepi karena bis bagus jarang masuk terminal ini Konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan Kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal TOILET GRATIS Dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut bikin gak enak hati akhirnya bayar juga Sekarang sudah ditertibkan TERMINAL INI MEMILIKI TAMAN YANG LUAS TERMASUK AREA BERMAIN ANAK LAHAN PARKIR KENDARAAN UNTUK PENGUNJUNG SANGAT LUAS KULINER JUGA MEMADAI DENGAN HARGA TETAP TERKENDALI BAGUS DAN LAYAK UNTUK DISINGGAHI,lumayan bagus dan cukup tertata loket telah disediakan bagus berderetan namun masih saja banyak calonya harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman cukup sepi karena bis bagus jarang masuk terminal ini konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal toilet gratis dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut bikin gak enak hati akhirnya bayar juga sekarang sudah ditertibkan terminal ini memiliki taman yang luas termasuk area bermain anak lahan parkir kendaraan untuk pengunjung sangat luas kuliner juga memadai dengan harga tetap terkendali bagus dan layak untuk disinggahi,lumayan bagus dan cukup tertata loket telah disediakan bagus berderetan namun masih saja banyak calonya harusnya yang lalulalang itu hanya petugas yang berfungsi sebagai informan dan pengaman cukup sepi karena bis bagus jarang masuk terminal ini konsumen lebih memilih agen di luar terminal karena faktor harga tiket dan kenyamanan kalau keamanan sudah standar tinggal kenyamanan penumpang belum maksimal toilet gratis dulu walau sudah ada tulisan gratis tapi ada saja orang yang nongkrong di depan toilet memberi kesan seolah bayar ke oknum tersebut bikin enggak enak hati akhirnya bayar juga sekarang sudah ditertibkan terminal ini memiliki taman yang luas termasuk area bermain anak lahan parkir kendaraan untuk pengunjung sangat luas kuliner juga memadai dengan harga tetap terkendali bagus dan layak untuk disinggahi,"['lumayan', 'bagus', 'dan', 'cukup', 'tertata', 'loket', 'telah', 'disediakan', 'bagus', 'berderetan', 'namun', 'masih', 'saja', 'banyak', 'calonya', 'harusnya', 'yang', 'lalulalang', 'itu', 'hanya', 'petugas', 'yang', 'berfungsi', 'sebagai', 'informan', 'dan', 'pengaman', 'cukup', 'sepi', 'karena', 'bis', 'bagus', 'jarang', 'masuk', 'terminal', 'ini', 'konsumen', 'lebih', 'memilih', 'agen', 'di', 'luar', 'terminal', 'karena', 'faktor', 'harga', 'tiket', 'dan', 'kenyamanan', 'kalau', 'keamanan', 'sudah', 'standar', 'tinggal', 'kenyamanan', 'penumpang', 'belum', 'maksimal', 'toilet', 'gratis', 'dulu', 'walau', 'sudah', 'ada', 'tulisan', 'gratis', 'tapi', 'ada', 'saja', 'orang', 'yang', 'nongkrong', 'di', 'depan', 'toilet', 'memberi', 'kesan', 'seolah', 'bayar', 'ke', 'oknum', 'tersebut', 'bikin', 'enggak', 'enak', 'hati', 'akhirnya', 'bayar', 'juga', 'sekarang', 'sudah', 'ditertibkan', 'terminal', 'ini', 'memiliki', 'taman', 'yang', 'luas', 'termasuk', 'area', 'bermain', 'anak', 'lahan', 'parkir', 'kendaraan', 'untuk', 'pengunjung', 'sangat', 'luas', 'kuliner', 'juga', 'memadai', 'dengan', 'harga', 'tetap', 'terkendali', 'bagus', 'dan', 'layak', 'untuk', 'disinggahi']","['lumayan', 'bagus', 'tertata', 'loket', 'disediakan', 'bagus', 'berderetan', 'calonya', 'lalulalang', 'petugas', 'berfungsi', 'informan', 'pengaman', 'sepi', 'bis', 'bagus', 'jarang', 'masuk', 'terminal', 'konsumen', 'memilih', 'agen', 'terminal', 'faktor', 'harga', 'tiket', 'kenyamanan', 'keamanan', 'standar', 'tinggal', 'kenyamanan', 'penumpang', 'maksimal', 'toilet', 'gratis', 'tulisan', 'gratis', 'orang', 'nongkrong', 'toilet', 'kesan', 'bayar', 'oknum', 'bikin', 'enak', 'hati', 'bayar', 'ditertibkan', 'terminal', 'memiliki', 'taman', 'luas', 'area', 'bermain', 'anak', 'lahan', 'parkir', 'kendaraan', 'pengunjung', 'luas', 'kuliner', 'memadai', 'harga', 'terkendali', 'bagus', 'layak', 'disinggahi']",lumayan bagus tertata loket disediakan bagus berderetan calonya lalulalang petugas berfungsi informan pengaman sepi bis bagus jarang masuk terminal konsumen memilih agen terminal faktor harga tiket kenyamanan keamanan standar tinggal kenyamanan penumpang maksimal toilet gratis tulisan gratis orang nongkrong toilet kesan bayar oknum bikin enak hati bayar ditertibkan terminal memiliki taman luas area bermain anak lahan parkir kendaraan pengunjung luas kuliner memadai harga terkendali bagus layak disinggahi,1,positive
5,"Terminal Purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun, depan lobby sudah ada grab pickup seperti di bandara. Ruang tunggu berAC cukup nyaman dan ada playground untuk bermain anak. Start terminal bus trans jateng dan trans banyumas",Terminal Purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun depan lobby sudah ada grab pickup seperti di bandara Ruang tunggu berAC cukup nyaman dan ada playground untuk bermain anak Start terminal bus trans jateng dan trans banyumas,terminal purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun depan lobby sudah ada grab pickup seperti di bandara ruang tunggu berac cukup nyaman dan ada playground untuk bermain anak start terminal bus trans jateng dan trans banyumas,terminal purwokerto ini cukup luas sudah banyak pembangunan dan kemajuan setiap tahun depan lobby sudah ada grab ambil di toko seperti di bandara ruang tunggu berac cukup nyaman dan ada playground untuk bermain anak start terminal bus trans jateng dan trans banyumas,"['terminal', 'purwokerto', 'ini', 'cukup', 'luas', 'sudah', 'banyak', 'pembangunan', 'dan', 'kemajuan', 'setiap', 'tahun', 'depan', 'lobby', 'sudah', 'ada', 'grab', 'ambil', 'di', 'toko', 'seperti', 'di', 'bandara', 'ruang', 'tunggu', 'berac', 'cukup', 'nyaman', 'dan', 'ada', 'playground', 'untuk', 'bermain', 'anak', 'start', 'terminal', 'bus', 'trans', 'jateng', 'dan', 'trans', 'banyumas']","['terminal', 'purwokerto', 'luas', 'pembangunan', 'kemajuan', 'lobby', 'grab', 'ambil', 'toko', 'bandara', 'ruang', 'tunggu', 'berac', 'nyaman', 'playground', 'bermain', 'anak', 'start', 'terminal', 'bus', 'trans', 'jateng', 'trans', 'banyumas']",terminal purwokerto luas pembangunan kemajuan lobby grab ambil toko bandara ruang tunggu berac nyaman playground bermain anak start terminal bus trans jateng trans banyumas,-11,negative
5,terminal penuh kenangan dengan almarhum mbah kakung saat anter pak lik sekeluarga pulang ke depok,terminal penuh kenangan dengan almarhum mbah kakung saat anter pak lik sekeluarga pulang ke depok,terminal penuh kenangan dengan almarhum mbah kakung saat anter pak lik sekeluarga pulang ke depok,terminal penuh kenangan dengan almarhum mbah kakung saat antar pak lik sekeluarga pulang ke depok,"['terminal', 'penuh', 'kenangan', 'dengan', 'almarhum', 'mbah', 'kakung', 'saat', 'antar', 'pak', 'lik', 'sekeluarga', 'pulang', 'ke', 'depok']","['terminal', 'penuh', 'kenangan', 'almarhum', 'mbah', 'kakung', 'lik', 'sekeluarga', 'pulang', 'depok']",terminal penuh kenangan almarhum mbah kakung lik sekeluarga pulang depok,0,neutral
5,Bersih dan nyaman,Bersih dan nyaman,bersih dan nyaman,bersih dan nyaman,"['bersih', 'dan', 'nyaman']","['bersih', 'nyaman']",bersih nyaman,4,positive
1,"Menurut saya sangat buruk perhatian terhadap sarana dan prasarana yg ada, ini awal april loh.. Kamarin maret momen lebaran ngga ada pembenahan ya? Khususnya fasilitas toilet.., minim penerangan, air keruh, keran rusak, kotor, aroma gak sedap,",Menurut saya sangat buruk perhatian terhadap sarana dan prasarana yg ada ini awal april loh Kamarin maret momen lebaran ngga ada pembenahan ya Khususnya fasilitas toilet minim penerangan air keruh keran rusak kotor aroma gak sedap,menurut saya sangat buruk perhatian terhadap sarana dan prasarana yg ada ini awal april loh kamarin maret momen lebaran ngga ada pembenahan ya khususnya fasilitas toilet minim penerangan air keruh keran rusak kotor aroma gak sedap,menurut saya sangat buruk perhatian terhadap sarana dan prasarana yang ada ini awal april loh kamarin maret momen lebaran enggak ada pembenahan ya khususnya fasilitas toilet minim penerangan air keruh keran rusak kotor aroma enggak sedap,"['menurut', 'saya', 'sangat', 'buruk', 'perhatian', 'terhadap', 'sarana', 'dan', 'prasarana', 'yang', 'ada', 'ini', 'awal', 'april', 'loh', 'kamarin', 'maret', 'momen', 'lebaran', 'enggak', 'ada', 'pembenahan', 'ya', 'khususnya', 'fasilitas', 'toilet', 'minim', 'penerangan', 'air', 'keruh', 'keran', 'rusak', 'kotor', 'aroma', 'enggak', 'sedap']","['buruk', 'perhatian', 'sarana', 'prasarana', 'april', 'kamarin', 'maret', 'momen', 'lebaran', 'pembenahan', 'fasilitas', 'toilet', 'minim', 'penerangan', 'air', 'keruh', 'keran', 'rusak', 'kotor', 'aroma', 'sedap']",buruk perhatian sarana prasarana april kamarin maret momen lebaran pembenahan fasilitas toilet minim penerangan air keruh keran rusak kotor aroma sedap,-14,negative
1,Nunggu nya lama banget dari jam 7 sampe jam 12,Nunggu nya lama banget dari jam  sampe jam,nunggu nya lama banget dari jam  sampe jam,menunggu nya lama  sekali dari jam sampai jam,"['menunggu', 'nya', 'lama', 'sekali', 'dari', 'jam', 'sampai', 'jam']","['menunggu', 'jam', 'jam']",menunggu jam jam,-3,negative
1,"tempatnya panas gk ada AC gk ada kipas, kotor juga banyak plafonnya yang udah pada jebol.",tempatnya panas gk ada AC gk ada kipas kotor juga banyak plafonnya yang udah pada jebol,tempatnya panas gk ada ac gk ada kipas kotor juga banyak plafonnya yang udah pada jebol,tempatnya panas enggak ada ac enggak ada kipas kotor juga banyak plafonnya yang sudah pada jebol,"['tempatnya', 'panas', 'enggak', 'ada', 'ac', 'enggak', 'ada', 'kipas', 'kotor', 'juga', 'banyak', 'plafonnya', 'yang', 'sudah', 'pada', 'jebol']","['tempatnya', 'panas', 'ac', 'kipas', 'kotor', 'plafonnya', 'jebol']",tempatnya panas ac kipas kotor plafonnya jebol,-4,negative
5,Bagus banget...bersih rapi aman terkendali,Bagus bangetbersih rapi aman terkendali,bagus bangetbersih rapi aman terkendali,bagus bangetbersih rapi aman terkendali,"['bagus', 'bangetbersih', 'rapi', 'aman', 'terkendali']","['bagus', 'bangetbersih', 'rapi', 'aman', 'terkendali']",bagus bangetbersih rapi aman terkendali,3,positive
5,"Bersih, rapih dan petugasnya helpfull",Bersih rapih dan petugasnya helpfull,bersih rapih dan petugasnya helpfull,bersih rapi dan petugasnya helpfull,"['bersih', 'rapi', 'dan', 'petugasnya', 'helpfull']","['bersih', 'rapi', 'petugasnya', 'helpfull']",bersih rapi petugasnya helpfull,1,positive
5,Sangat di sambut dengan baik,Sangat di sambut dengan baik,sangat di sambut dengan baik,sangat di sambut dengan baik,"['sangat', 'di', 'sambut', 'dengan', 'baik']",['sambut'],sambut,3,positive
1,Tolong untuknpengelola parkir dibenahi karna tidak ada plang tarif ketentuan nya jadi asal2 saja menentukan tarif nya,Tolong untuknpengelola parkir dibenahi karna tidak ada plang tarif ketentuan nya jadi asal saja menentukan tarif nya,tolong untuknpengelola parkir dibenahi karna tidak ada plang tarif ketentuan nya jadi asal saja menentukan tarif nya,tolong untuknpengelola parkir dibenahi karena tidak ada plang tarif ketentuan nya jadi asal saja menentukan tarif nya,"['tolong', 'untuknpengelola', 'parkir', 'dibenahi', 'karena', 'tidak', 'ada', 'plang', 'tarif', 'ketentuan', 'nya', 'jadi', 'asal', 'saja', 'menentukan', 'tarif', 'nya']","['tolong', 'untuknpengelola', 'parkir', 'dibenahi', 'tidak', 'plang', 'tarif', 'ketentuan', 'menentukan', 'tarif']",tolong untuknpengelola parkir dibenahi tidak plang tarif ketentuan menentukan tarif,-4,negative
