slang,formal
poin,poin
point,poin
pont,poin
redeem,tukar
ridim,tukar
tuker,tukar
vcr,voucher
pocel,voucher
vocher,voucher
vocer,voucher
kupon,voucher
avoucher,voucher
a-voucher,voucher
star,bintang
stamps,stempel
stamp,stempel
member,anggota
upgrd,upgrade
reward,hadiah
stock,stok
kosong,habis
aga, agar
ooooh, oh
myyyy, my
sinisedikit, sini sedikit
abis,habis
alfagiftbisa, alfagift bisa
otu, itu
sangggat, sangat
bergunapengiriman, berguna pengiriman
sold,habis
cart,keranjang
co,checkout
cekout,checkout
loading,memuat
lola,lambat
liat²,lihat lihat
lemot,lambat
bisabisanya,bisa bisa nya
muter,memuat
bug,error
glitch,error
force close,keluar sendiri
mental,keluar sendiri
otp,kode verifikasi
cs,layanan pelanggan
cust,pelanggan
aladin,bank aladin
olways,selalu
terbaikada,terbaik menyediakan
notog,membawa
accesoriespulsatop, aksesoris pulsa
pool,sekali
ws kayakuwebaepokoke yess,sudah seperti itu aja
map,peta
Bua,bus
maps,peta
sederhanalegend, sederhana legenda	
loc,lokasi
lok,lokasi
titik,titik lokasi
bayangkanskrg,bayangkan sekarang
trhadap, terhadap
joss,bagus
kab,kabupaten
kec,kecamatan
kel,kelurahan
prov,provinsi
kodepos,kode pos
dom,domisili
koordinat,titik lokasi
virgo,dompet digital
ewallet,dompet digital
pay,bayar
byr,bayar
topup,isi ulang
top up,isi ulang
trf,transfer
tf,transfer
refund,pengembalian dana
rifan,pengembalian dana
struk,struk
struck,struk
bill,tagihan
cash,tunai
ongkir,ongkos kirim
freeong,gratis ongkos kirim
gratisongkir,gratis ongkos kirim
kirim,antar
ngirim,antar
anter,antar
kurir,kurir
mudahcepatdan, mudah cepat dan
driver,kurir
dialpamartduhhh,di alfamart duh
disalah,di salah
enakeun,enak
playanany,pelayanan
pastinyaa,pasti
kbutuhan, kebutuhan
tolongg, tolong
pesana, pesanan
tbtb, tiba tiba
daftarsda, daftar
xbin, kali ini
pengin,ingin
eror,error
oarang, orang
hadiab, hadiah
iphon, iphone
paaraahhhh, parah
guyysss, guys
pickup,ambil di toko
pick up,ambil di toko
ambil,ambil di toko
cod,bayar di tempat
sameday,hari yang sama
instant,instan
est,estimasi
nyampe,sampai
sampe,sampai
membantuu, membantu
gen, generasi
z, sekarang
bapakibu, bapak ibu
ibubapak, ibu bapak
grocies, grosir
groceries, grosir
grocir, grosir
alfagiftpake, alfagift pakai
shoopepay, shopee pay
banyakkk, banyak
promonyaaaa, promonya
jelekkk, jelek
jelekk, jelek
bangettt, sekali
banget, sekali
apl, aplikasi
app, aplikasi
apk, aplikasi
apknya, aplikasi nya
alfagif, alfagift
yah, ya
wasting,membuang
time,waktu
bad,buruk
experience, pengalaman
sussah, susah
mageran, mager
mudahbanyak, mudah banyak
mantapppengantaran, mantap pengantaran
delivery, pengiriman
manukarkan, menukarkan
happy, senang
loginmuncul, login muncul
koneksipadahal, koneksi padahal
kaum², kaum
tebaikaplikasi, terbaik aplikasi
lumayantapi aaya, lumayan tapi saya
limakarena, lima karena
parahhh, parah
sepuasnyaada, sepuasnya ada
batalin, batalkan
producr, produk
ribetbanyak, ribet banyak
bukacuma, buka cuma
kesellllpas, kesal ketika
pas, ketika
nopember, november
uiux, ui ux
ui/ux, ui ux
alfa, alfagift
bisatp, bisa tapi
thselama, selama
alfagiftuntuk, alfagift untuk
sekalibisa, sekali bisa
menarikjuga, menarik juga
nyamansangat, nyaman sangat
asyikdi, asyik di
guna, berguna
dialfagift, di alfagift
mantaapki, mantap
tawwabanyak, banyak
onlinenya, online nya
dialfa, di alfa
jujurli, jujur
mantapppp, mantap
pengirimany, pengirimannya
lelettt, lama
lelet, lama
bagusselain, bagus selain
akhir², akhir akhir
